epi_week,date,state,city,ibgeID,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases
216,2022-04-22,SP,Campinas/SP,3509502,0,5064,14,156908,413.984,12827.277,0.032
216,2022-04-23,SP,Campinas/SP,3509502,0,5064,3,156911,413.984,12827.522,0.032
217,2022-04-24,SP,Campinas/SP,3509502,0,5064,1,156912,413.984,12827.604,0.032
217,2022-04-25,SP,Campinas/SP,3509502,0,5064,-1,156911,413.984,12827.522,0
217,2022-04-26,SP,Campinas/SP,3509502,0,5064,150,157061,413.984,12839.785,0.032
217,2022-04-27,SP,Campinas/SP,3509502,1,5065,173,157234,414.065,12853.928,0.032
217,2022-04-28,SP,Campinas/SP,3509502,0,5065,181,157415,414.065,12868.725,0.032
217,2022-04-29,SP,Campinas/SP,3509502,2,5067,169,157584,414.229,12882.540,0.032
217,2022-04-30,SP,Campinas/SP,3509502,0,5067,358,157942,414.229,12911.807,0.032
218,2022-05-01,SP,Campinas/SP,3509502,0,5067,1361,159303,414.229,13023.069,0.032
218,2022-05-02,SP,Campinas/SP,3509502,0,5067,420,159723,414.229,13057.404,0.032
218,2022-05-03,SP,Campinas/SP,3509502,2,5069,1274,160997,414.392,13161.554,0.031
218,2022-05-04,SP,Campinas/SP,3509502,3,5072,1052,162049,414.638,13247.555,0.031
218,2022-05-05,SP,Campinas/SP,3509502,0,5072,645,162694,414.638,13300.284,0.031
218,2022-05-06,SP,Campinas/SP,3509502,0,5072,696,163390,414.638,13357.183,0.031
218,2022-05-07,SP,Campinas/SP,3509502,0,5072,428,163818,414.638,13392.172,0.031
219,2022-05-08,SP,Campinas/SP,3509502,0,5072,952,164770,414.638,13469.998,0.031
219,2022-05-09,SP,Campinas/SP,3509502,0,5072,207,164977,414.638,13486.920,0.031
219,2022-05-10,SP,Campinas/SP,3509502,1,5073,458,165435,414.719,13524.362,0.031
219,2022-05-11,SP,Campinas/SP,3509502,4,5077,291,165726,415.046,13548.151,0.031
219,2022-05-12,SP,Campinas/SP,3509502,2,5079,499,166225,415.210,13588.945,0.031
219,2022-05-13,SP,Campinas/SP,3509502,2,5081,514,166739,415.373,13630.964,0.030
219,2022-05-14,SP,Campinas/SP,3509502,0,5081,183,166922,415.373,13645.925,0.030
220,2022-05-15,SP,Campinas/SP,3509502,0,5081,488,167410,415.373,13685.819,0.030
220,2022-05-16,SP,Campinas/SP,3509502,0,5081,484,167894,415.373,13725.386,0.030
220,2022-05-17,SP,Campinas/SP,3509502,1,5082,177,168071,415.455,13739.856,0.030
220,2022-05-18,SP,Campinas/SP,3509502,0,5082,55,168126,415.455,13744.352,0.030
220,2022-05-19,SP,Campinas/SP,3509502,1,5083,17,168143,415.537,13745.742,0.030
220,2022-05-20,SP,Campinas/SP,3509502,0,5083,0,168143,415.537,13745.742,0.030
220,2022-05-21,SP,Campinas/SP,3509502,0,5083,0,168143,415.537,13745.742,0.030
221,2022-05-22,SP,Campinas/SP,3509502,3,5086,460,168603,415.782,13783.347,0.030
221,2022-05-23,SP,Campinas/SP,3509502,0,5086,125,168728,415.782,13793.566,0.030
221,2022-05-24,SP,Campinas/SP,3509502,2,5088,248,168976,415.946,13813.840,0.030
221,2022-05-25,SP,Campinas/SP,3509502,1,5089,315,169291,416.027,13839.591,0.030
221,2022-05-26,SP,Campinas/SP,3509502,1,5090,520,169811,416.109,13882.101,0.030
221,2022-05-27,SP,Campinas/SP,3509502,2,5092,74,169885,416.273,13888.151,0.030
221,2022-05-28,SP,Campinas/SP,3509502,1,5093,252,170137,416.354,13908.752,0.030
